date,nav,cumulative_return,cumulative_return_pct,portfolio_measure,currency
2026-05-18,14476.414102173001,0.03345026,3.3450,TWR,USD
2026-05-19,14203.666949575301,0.01397923,1.3979,TWR,USD
2026-05-20,14494.0269495753,0.03470761,3.4708,TWR,USD
2026-05-21,14425.7415190557,0.02983281,2.9833,TWR,USD
2026-05-22,14340.800658016598,0.02376901,2.3769,TWR,USD
2026-05-25,14340.8460885362,0.02377225,2.3772,TWR,USD
2026-05-26,14161.3097969775,0.01095541,1.0955,TWR,USD
2026-05-27,14043.6389055362,0.00255506,0.2555,TWR,USD
2026-05-28,14385.7343360557,0.02697676,2.6977,TWR,USD
2026-05-29,14830.167168458,0.05870417,5.8704,TWR,USD
2026-06-01,15244.075565638399,0.0882525,8.8253,TWR,USD
2026-06-02,14812.460996458001,0.05744016,5.7440,TWR,USD
2026-06-03,14366.300996458,0.02558944,2.5589,TWR,USD
2026-06-04,14454.1692987362,0.03186223,3.1862,TWR,USD
2026-06-05,13982.0247295557,-0.00184349,-0.1843,TWR,USD
2026-06-08,14011.751087458,0.00027864,0.0279,TWR,USD
2026-06-09,13941.0663056384,-0.00476745,-0.4767,TWR,USD
2026-06-10,15436.1971672775,-0.00709525,-0.7095,TWR,USD
2026-06-11,16636.1771672775,-0.00401261,-0.4013,TWR,USD
2026-06-12,16867.583938097097,0.00984143,0.9841,TWR,USD
2026-06-15,17575.622538736203,0.05223083,5.2231,TWR,USD
2026-06-16,25909.287969555702,0.06595847,6.5958,TWR,USD
2026-06-17,25275.854232097103,0.03989778,3.9898,TWR,USD
2026-06-18,25716.555120458,0.05802907,5.8029,TWR,USD
2026-06-19,25716.555120458,0.05802907,5.8029,TWR,USD
2026-06-22,23992.8404973602,-0.0128879,-1.2888,TWR,USD
2026-06-23,23060.495066540698,-0.0512464,-5.1246,TWR,USD
2026-06-24,22832.7304973602,-0.06061708,-6.0617,TWR,USD
2026-06-25,22350.3605865407,-0.08046272,-8.0463,TWR,USD
2026-06-26,21536.8597249016,-0.11393172,-11.3932,TWR,USD
2026-06-29,22958.2789125407,-0.05545178,-5.5452,TWR,USD
2026-06-30,23510.7371892625,-0.03272257,-3.2723,TWR,USD
2026-07-01,23425.8917584429,-0.03621327,-3.6213,TWR,USD
2026-07-02,23080.892620082,-0.05040721,-5.0407,TWR,USD
2026-07-03,23080.6371892625,-0.05041772,-5.0418,TWR,USD
2026-07-06,23692.007189262502,-0.02526477,-2.5265,TWR,USD
2026-07-07,23260.0820869016,-0.04303501,-4.3035,TWR,USD
2026-07-08,23472.6438101798,-0.0342898,-3.4290,TWR,USD
2026-07-09,23108.4263950971,-0.04927442,-4.9274,TWR,USD
2026-07-10,23602.093810179802,-0.02896398,-2.8964,TWR,USD
2026-07-13,22684.3201026384,-0.06672297,-6.6723,TWR,USD
2026-07-14,24051.6019396384,-0.01047034,-1.0470,TWR,USD
2026-07-15,24695.7910779993,0.01603285,1.6033,TWR,USD
2026-07-16,23308.660216360197,-0.04103641,-4.1036,TWR,USD
2026-07-17,22370.6902163602,-0.07962632,-7.9626,TWR,USD
2026-07-20,22831.3747855407,-0.06067286,-6.0673,TWR,USD
2026-07-21,22887.935323901598,-0.05834585,-5.8346,TWR,USD
2026-07-22,22908.6407547211,-0.05749399,-5.7494,TWR,USD
2026-07-23,20638.060754721097,-0.15091006,-15.0910,TWR,USD
2026-07-24,20286.699893082,-0.16536573,-16.5366,TWR,USD
2026-07-27,20816.2898,-0.14357737,-14.3577,TWR,USD
